pk,title,genre,release_date,poster_path,overview
269,존 윅 4,액션,20230412,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230329_142%2F1680055399492ipxkq_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"죽을 위기에서 살아난 ‘존 윅’은 ‘최고 회의’를 쓰러트릴 방법을 찾아낸다. 비로소 완전한 자유의 희망을 보지만, NEW 빌런 ‘그라몽 후작’과 전 세계의 최강 연합은 ‘존 윅’의 오랜 친구까지 적으로 만들어 버리고, 새로운 위기에 놓인 ‘존 윅’은 최후의 반격을 준비하는데,, 레전드 액션 블록버스터 <존 윅>의 새로운 챕터가 열린다!"
270,"조제, 호랑이 그리고 물고기들",애니메이션,20210331,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230427_105%2F16825858976552nfPE_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"“이름이 뭐야?” “조제” 취미인 그림과 책과 상상 속에서, 자신의 세계를 그리며 살아가는 ‘조제’ 어려서부터 휠체어를 탄 그녀는 어느 날, 언덕길에서 굴러떨어질 뻔한걸, 대학생 ‘츠네오’에게 도움을 받게 된다. 해양생물학을 전공하는 ‘츠네오’는 멕시코에서만 서식하는 환상의 물고기 떼를 언젠가 그 눈으로 보겠다는 꿈을 쫓아다니며 아르바이트로 날을 지새우는 대학생. 그런 ‘츠네오’에게 ‘조제’와 둘이 살고있는 조모가 어떤 아르바이트를 제안한다. 바로 ‘조제’의 부탁을 받아 그녀를 상대해 주는 것. 그러나 삐딱하고 입이 나쁜 ‘조제’는 ‘츠네오’에게 신랄하게 대하고, ‘츠네오’도 ‘조제’에게 참지 않고 정면으로 부딪친다. 그런 가운데, 각자의 마음속과 좁혀져 가는 두 사람의 마음의 거리. 그 만남 속에서 ‘조제’는 마음을 굳게 먹고 꿈꾸던 바깥 세계로 ‘츠네오’와 함께 뛰쳐나갈 것을 결정하지만……."
271,피기,스릴러,20230426,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230315_203%2F1678847867469Qotzg_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,내 이름은 사라. 나를 돼지라 부르며 괴롭히던 친구들이 납치당하는 것을 보게 되었다. 작은 마을에서 살인 사건도 벌어졌다. 끔찍한 사건의 유일한 목격자가 된 것 같다 그렇다면… 신고한다 VS 안 한다
272,자전거 도둑,드라마,20230426,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20140926_18%2F1411694910521lzOor_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,등록금을 마련하기 위해 고급 자전거의 안장을 훔쳐 파는 여자가 있다. 어느 날 자신의 자전거 안장을 누군가 훔쳐간다. 도둑이 도둑을 쫓아다니는 상황이 벌어진다. (남동철) [제19회 부산국제영화제]
273,슈퍼 마리오 브라더스,"애니메이션,어드벤처,코미디",20230426,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20230309_3%2F1678329123596Kpcdb_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,따단-딴-따단-딴 전 세계를 열광시킬 올 타임 슈퍼 어드벤처의 등장! 뉴욕의 평범한 배관공 형제 '마리오'와 ‘루이지’는 배수관 고장으로 위기에 빠진 도시를 구하려다 미스터리한 초록색 파이프 안으로 빨려 들어가게 된다. 파이프를 통해 새로운 세상으로 차원 이동하게 된 형제. 형 '마리오'는 뛰어난 리더십을 지닌 '피치'가 통치하는 버섯왕국에 도착하지만 동생 '루이지'는 빌런 '쿠파'가 있는 다크랜드로 떨어지며 납치를 당하고 ‘마리오’는 동생을 구하기 위해 ‘피치’와 ‘키노피오’의 도움을 받아 '쿠파'에 맞서기로 결심한다. 그러나 슈퍼스타로 세상을 지배하려는 그의 강력한 힘 앞에 이들은 예기치 못한 위험에 빠지게 되는데...! 동생을 구하기 위해! 세상을 지키기 위해! '슈퍼 마리오'로 레벨업 하기 위한 '마리오'의 스펙터클한 스테이지가 시작된다!
274,2001 스페이스 오디세이,"SF,드라마",,https://media.istockphoto.com/id/499642119/ko/%EB%B2%A1%ED%84%B0/%EC%82%AC%EC%9A%A9-%EA%B0%80%EB%8A%A5%ED%95%9C-%EC%82%AC%EC%A7%84-%EC%97%86%EC%9D%8C-%EB%98%90%EB%8A%94-%EB%AF%B8%EC%8B%B1-%EC%9D%B4%EB%AF%B8%EC%A7%80.webp?s=612x612&w=is&k=20&c=7c0_XObaB51UOyiKd0n0Vh7DYElthNtjazmmQyHvVhA=,준비 예정
275,신라의 달밤,코미디,20010623,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_153%2F1324517212070OhruJ_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"십년전, 전설적인 고교 짱 최기동(차승원 분)과 소심한 모범생 박영준(이성재 분)은 경주 지역으로 수학여행을 떠난다. 그리고 휘엉청 달이 밝은 운명의 그날 밤, 두 사람은 평생 잊을 수 없는 사건을 겪게 되고, 우연히 10년만에 경주에서 맞딱드린 기동과 영준. 고교시절 ‘전설의 짱’ 최기동은 다혈질 체육선생이 되어 있고, 소심한 모범생 ‘왕따’ 박영준은 엘리트 깡패가 되어 나타난다. 그 옛날의 전설적인 사건을 되새기며 반갑게 악수하는 그들의 양손에는 어느덧 힘이 들어가기 시작한다. 그녀는 홀연히 나타났다. 슬픈 눈으로 우는가 하면 어느덧 그 눈으로 웃음 짓는 민주란! 그녀가 깡패같지 않은 깡패와 선생같지 않은 선생사이에서 관심 갖는 남자라고는 오로지 철부지 남동생 민주섭!(이종수 분) 영준의 후계자가 되고 싶은 주섭이는 기동 학교의 소문난 문제아. 과연 깡패와 선생 중 그들의 어떤 사랑법이 주란의 마음을 차지할 수 있을 것인가? 영준을 노리는 일당에게 주란이 납치 당하는 사건이 일어나고 설상가상으로 영준의 조직이 붕괴되는 곤경에 몰리는데 홀연단신으로 적지에 떨어진 영준과 사랑과 우정사이에서 갈등하는 기동. 그리고 이들을 바라보는 한 여자 민주란 과연 이들과 경주의 미래는 어떻게 전개 될 것인가."
276,친구,드라마,20010331,https://search.pstatic.net/common?type=ofullfill&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20180516_95%2F1526432193901jSSnd_PNG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"중학생인 상규와 민선은 게임을 사기 위해 시내로 나갔다가 고등학생 양아치들을 만난다. 하지만 싸움을 잘하는 형이 있는 민선은 돈을 뺏기지 않고, 상규 혼자만 돈을 뺏긴다. 그렇게 혼자만 돈을 뺏기고 집으로 돌아온 상규는 자신의 집을 찾은 사촌 형에게 복수를 부탁한다. [제17회 미쟝센 단편영화제]"
277,달마야 놀자,코미디,20011108,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_160%2F1324501213786xtzji_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,"업소의 주도권을 놓고 일대 격전을 벌이던 재규 일당은 예상치 못한 기습으로, 더 이상 숨을 곳도 없이 보살펴 줄 조직의 힘도 끊긴 채 고립된다. 그들은 자비와 진리를 수행 중인 스님들이 살고 있는 절로 들어가 자리를 잡는다. 그 동안의 모든 일상을 뒤집는 느닷없는 이 인연은 고요했던 산사를 흔들기 시작한다. 막무가내로 들이닥친 재규 일당을 받아들여야만 하는 스님들은 약속한 일주일의 시간이 야속하기만 하고, 보스의 연락만을 기다리는 재규 일당의 심정도 편치만은 않다. 절 생활의 무료함과 초조함을 달래기 위한 재규 일당의 일과는 사사건건 스님들의 수행에 방해가 되고 이들을 내쫓고 평화를 찾기 위한 스님들의 눈물겨운 대책은 기상천외한 대결로 이어진다. 5판3승의 화려하고 긴박한 게임은 재규일당의 승리로 돌아가고 결국 암자에 더 머물러도 좋다는 허락을 받아낸다. 스님들과 똑같은 수도생활을 해야 한다는 조건을 달고 재정비에 들어가는 산사생활은 또 다른 국면에 접어든다. 참았던 감정이 폭발한 두 집단은 오고가는 맞짱과 몇 번의 덮치기 등으로 팽팽하게 대립한다. 일하지 않은 자는 먹지도 말라하니 말년 병장처럼 지내던 재규일당의 생활은 이등병 신참으로 추락하기에 이른다. 치사하고 처절하고 눈물나는 수행은 다시 시작되는데. 스님들은 과연 그들과 홀가분하게 '세이 굿바이'를 할 수 있을까?"
278,댓글부대(가제),"범죄,드라마",,https://media.istockphoto.com/id/499642119/ko/%EB%B2%A1%ED%84%B0/%EC%82%AC%EC%9A%A9-%EA%B0%80%EB%8A%A5%ED%95%9C-%EC%82%AC%EC%A7%84-%EC%97%86%EC%9D%8C-%EB%98%90%EB%8A%94-%EB%AF%B8%EC%8B%B1-%EC%9D%B4%EB%AF%B8%EC%A7%80.webp?s=612x612&w=is&k=20&c=7c0_XObaB51UOyiKd0n0Vh7DYElthNtjazmmQyHvVhA=,준비 예정
